stan,66.340 €,Novi Sad,Gradske lokacije,Banatić,Bulevar Jaše Tomića,46m²,,2 sobe,,centralno grejanje,uobičajeno stanje,,visoko prizemlje/4 sprata (nije poslednji sprat),,"podrum, terasa",,,kupatilo,prazno,"telefon, internet, interfon, klima",useljivo,,,,,,3937
stan,113.300 €,Novi Sad,Gradske lokacije,Sajmište,Branimira Ćosića,64m²,,2 sobe,uknjiženo,centralno grejanje,uobičajeno stanje,,4/8 spratova (nije poslednji sprat),ima lift (1),terasa,,,kupatilo,prazno,"telefon, kablovska, internet, interfon, klima",useljivo,,,,,,3891
stan,58.000 €,Niš,Gradske lokacije,Pantelej,Knjaževačka,55m²,,2 sobe,uknjiženo,centralno grejanje,,,9/12 spratova (nije poslednji sprat),ima lift (2),lođe (2),"1 parking mesto, u dvorištu zgrade, javni parking van zone",,"kupatilo, toalet",prazno,,,,,,,,
stan,179.990 €,Novi Sad,Gradske lokacije,Stari Grad,Novi Sad - Centar,128m²,,3.5 sobe,uknjiženo,grejanje na struju,uobičajeno stanje,2001. godine,3/4 sprata (nije poslednji sprat),,terasa,,,,,,,,,,,,1004264
stan,45.730 €,Novi Sad,Gradske lokacije,Bulevar Oslobođenja,Bulevar Oslobođenja,24m²,,0.5 soba,uknjiženo,centralno grejanje,u izgradnji,2000. godine,visoko prizemlje,ima lift (1),,,,,,,,,,,,,1004727
stan,55.600 €,Novi Sad,Gradske lokacije,Bulevar Oslobođenja,Bulevar oslobođenja,30m²,,0.5 soba,,,novo,,visoko prizemlje,,,,,kupatilo,prazno,"telefon, kablovska, internet, interfon",,,,,,,1567
stan,31.200 €,Novi Sad,Gradske lokacije,Stari Grad,Novi Sad - Centar,46m²,,1.5 soba,uknjiženo,centralno grejanje,uobičajeno stanje,2021. godine,suteren/4 sprata (nije poslednji sprat),ima lift (1),,,,,,,,,,,,,1004761
stan,51.350 €,Novi Sad,Gradske lokacije,Stari Grad,Novi Sad - Centar,76m²,,3 sobe,uknjiženo,centralno grejanje,uobičajeno stanje,2021. godine,suteren/4 sprata (nije poslednji sprat),ima lift (1),,,,,,,,,,,,,1004762
stan,102.650 €,Novi Sad,Gradske lokacije,Telep,"TELEP, NOVI SAD",63m²,,3 sobe,uknjiženo,grejanje na gas,,,1/2 sprata (nije poslednji sprat),,terasa,,,,,,useljivo,,,,,,1092153
stan,451.000 €,Beograd,Savski Venac,Dedinje,Dedinje,209m²,,4 sobe,uknjiženo,,novo,2020. godine,4/4 sprata,ima lift (1),terasa,,1 garažno mesto,,,"telefon, kablovska, internet, video nadzor, interfon, klima",useljivo,,,,,,173
stan,300.000 €,Beograd,Savski Venac,Dedinje,Dedinje,175m²,,4 sobe,uknjiženo,,novo,,visoko prizemlje/4 sprata (nije poslednji sprat),ima lift (1),terasa,1 parking mesto,,,,"telefon, kablovska, internet, video nadzor, interfon, klima",useljivo,,,,,,145
stan,75.000 €,Beograd,Voždovac opština,Konjarnik (Voždovački deo),Rudo,55m²,,3 sobe,uknjiženo,centralno grejanje,uobičajeno stanje,,9/28 spratova (nije poslednji sprat),ima lift (1),"terasa, lođa",1 parking mesto,,,namešteno,,useljivo,,,,,,102373987
stan,73.390 €,Novi Sad,Gradske lokacije,Stari Grad,"CENTAR, NOVI SAD",38m²,,1.5 soba,uknjiženo,centralno grejanje,,,3/4 sprata (nije poslednji sprat),,terasa,,,,,,useljivo,,,,,,1091822
stan,93.730 €,Novi Sad,Gradske lokacije,Stari Grad,"CENTAR, NOVI SAD",60m²,,3 sobe,uknjiženo,centralno grejanje,,,9/13 spratova (nije poslednji sprat),ima lift (1),,,,,,,useljivo,,,,,,1090184
stan,103.000 €,Novi Sad,Gradske lokacije,Novo Naselje,Anđe Ranković,65m²,,3 sobe,uknjiženo,centralno grejanje,,,4/5 spratova (nije poslednji sprat),ima lift (1),terasa,,,kupatilo,prazno,"telefon, internet, interfon, klima",,,,,,,1037
stan,82.000 €,Novi Sad,Gradske lokacije,Adamovićevo Naselje,Cara Dušana,59m²,,2 sobe,uknjiženo,grejanje na gas,,,5/6 spratova (nije poslednji sprat),ima lift (1),,1 parking mesto,,kupatilo,prazno,telefon,,,,,,,1005
